Campaign name,Campaign ID,Ad set name,Ad set ID,Ad name,Ad ID,Day,Reach,Impressions,Frequency,Amount spent (EUR),Clicks (all),Link clicks,CTR (all)(%),CTR (link click-through rate)(%),CPC (all) (EUR),Cost per link click (EUR),CPM (cost per 1,000 impressions reached) (EUR),Results,Cost per result (EUR),Result indicator,Purchase ROAS (return on ad spend)
Retargeting Website,23858001111112,Bezoekers 7 dagen,23858002222231,Collectie Herinnering,23858003333352,2024-05-02,2900,4300,1.48,74.80,141,118,3.28,2.74,0.53,0.63,17.40,24,3.12,Purchases,5.68
Retargeting Website,23858001111112,Winkelwagen Verlaters,23858002222232,Urgentie Aanbieding,23858003333361,2024-05-01,1900,3200,1.68,64.50,187,165,5.84,5.16,0.34,0.39,20.16,41,1.57,Purchases,9.34
Retargeting Website,23858001111112,Winkelwagen Verlaters,23858002222232,Urgentie Aanbieding,23858003333361,2024-05-02,2000,3400,1.70,68.20,198,175,5.82,5.15,0.34,0.39,20.06,44,1.55,Purchases,9.87
Retargeting Website,23858001111112,Winkelwagen Verlaters,23858002222232,Gratis Verzending Aanbieding,23858003333362,2024-05-01,1700,2900,1.71,57.80,154,134,5.31,4.62,0.38,0.43,19.93,34,1.70,Purchases,8.12
Retargeting Website,23858001111112,Winkelwagen Verlaters,23858002222232,Gratis Verzending Aanbieding,23858003333362,2024-05-02,1800,3100,1.72,61.20,163,142,5.26,4.58,0.38,0.43,19.74,37,1.65,Purchases,8.45
Lookalike Acquisitie,23858001111113,LAL 1% Kopers,23858002222241,Brand Story Video,23858003333371,2024-05-01,18900,28400,1.50,312.40,487,389,1.71,1.37,0.64,0.80,11.00,22,14.20,Purchases,3.45
Lookalike Acquisitie,23858001111113,LAL 1% Kopers,23858002222241,Brand Story Video,23858003333371,2024-05-02,19800,29700,1.50,327.10,512,412,1.72,1.39,0.64,0.79,11.01,24,13.63,Purchases,3.61
Lookalike Acquisitie,23858001111113,LAL 1% Kopers,23858002222241,Bestseller Carousel,23858003333372,2024-05-01,15600,22800,1.46,267.90,389,301,1.71,1.32,0.69,0.89,11.75,19,14.10,Purchases,2.98
Lookalike Acquisitie,23858001111113,LAL 1% Kopers,23858002222241,Bestseller Carousel,23858003333372,2024-05-02,16200,23900,1.48,281.40,412,319,1.72,1.33,0.68,0.88,11.77,21,13.40,Purchases,3.12
Lookalike Acquisitie,23858001111113,LAL 2-3% Interesses,23858002222242,Lifestyle Beelden,23858003333381,2024-05-01,22100,34500,1.56,289.70,423,312,1.23,0.90,0.69,0.93,8.40,16,18.11,Purchases,2.21
Lookalike Acquisitie,23858001111113,LAL 2-3% Interesses,23858002222242,Lifestyle Beelden,23858003333381,2024-05-02,23400,36700,1.57,308.10,447,331,1.22,0.90,0.69,0.93,8.40,18,17.12,Purchases,2.34
Lookalike Acquisitie,23858001111113,LAL 2-3% Interesses,23858002222242,Testimonial Reel,23858003333382,2024-05-01,19800,30200,1.53,245.80,398,287,1.32,0.95,0.62,0.86,8.14,14,17.56,Purchases,1.87
Lookalike Acquisitie,23858001111113,LAL 2-3% Interesses,23858002222242,Testimonial Reel,23858003333382,2024-05-02,20900,32100,1.54,261.30,421,305,1.31,0.95,0.62,0.86,8.14,15,17.42,Purchases,1.94
Brand Awareness Q2,23858001111114,Brede Doelgroep NL,23858002222251,Brand Video 30s,23858003333391,2024-05-01,45200,71800,1.59,389.20,612,0,0.85,0.00,0.64,0.00,5.42,0,0.00,ThruPlay,0.00
Brand Awareness Q2,23858001111114,Brede Doelgroep NL,23858002222251,Brand Video 30s,23858003333391,2024-05-02,47800,76200,1.59,412.40,648,0,0.85,0.00,0.64,0.00,5.41,0,0.00,ThruPlay,0.00
Brand Awareness Q2,23858001111114,Brede Doelgroep NL,23858002222251,Reels Awareness,23858003333392,2024-05-01,38900,61200,1.57,298.10,534,0,0.87,0.00,0.56,0.00,4.87,0,0.00,ThruPlay,0.00
Brand Awareness Q2,23858001111114,Brede Doelgroep NL,23858002222251,Reels Awareness,23858003333392,2024-05-02,41200,65100,1.58,317.30,568,0,0.87,0.00,0.56,0.00,4.88,0,0.00,ThruPlay,0.00
Brand Awareness Q2,23858001111114,Instagram Jongeren 18-24,23858002222252,UGC Reel Ad,23858003333401,2024-05-01,28700,47300,1.65,234.50,687,0,1.45,0.00,0.34,0.00,4.96,0,0.00,ThruPlay,0.00
Brand Awareness Q2,23858001111114,Instagram Jongeren 18-24,23858002222252,UGC Reel Ad,23858003333401,2024-05-02,30100,49800,1.65,248.70,724,0,1.45,0.00,0.34,0.00,4.99,0,0.00,ThruPlay,0.00
